-3 -1.5 10.1.1.2
9bbb10c6de20e7ea6324f2192b0b5a3af70a936b 0.053835 -1
7bc29f6603a74123a4020d09a2d034fffb54aea0 0.056637 -1
7aa9642555cbf45d6528f55b60fdc987dab9696b 0.063227 -1
55da0121f293c498e906638c6b3a4add5f31a7c5 0.065143 -1
39c25a55216c24358533eeee95b4479aa01bb69d 0.081418 -1
b6222f6150c6874790eea80069abb8cf22c6c666 0.082122 -1
31950da3f5c254089656d012452770aa30fdef0a 0.082732 -1
6b79da2c4c2aee5f29e0b19bb403f3b8cd73aa77 0.083937 -1
b3e7067d8ad9fd30ed7f6f4722f65d96d8d3fe8b 0.092029 -1
3b45be1ed1d04e96bbaba0ec39afc506f847d8a6 0.109987 -1
c116539eeeecc189dcb11f2395e10668885d9f36 0.111790 -1
7ad73596bb46a5e3aa61e3e1b20644e73048cb86 0.120053 -1
94ea088f8e41b531f67e24d427ebff08a7b0ffe4 0.136115 -1
16cf53d526f40cf57b05f72216222fca2dc30283 0.143088 -1
2f1c8a1534aaceb50a450bf39fad772d98ea7ab3 0.144224 -1
b58bd98c8cba9619f2a25eb602a699da9a195160 0.144935 -1
346382b1d84805e277563e9485f4e9bd0fbed064 0.146301 -1
25a3f9db2549386882c44d1c0955f3adf3df95f0 0.166320 -1
1a28e25d0eb330329c4ff6b4d9e623381bc30c4e 0.168241 -1
5d700596db78c8557872fc0691d20a2a58521f5d 0.176949 -1
1ad2f566a64fd01572a056951da193d8a083497d 0.177757 -1
5ffc89395dfbe2bb51f7383b6ffe88055b17e4b6 0.178801 -1
1baf118071e97c06de05fc9aa586a0d408e55a0a 0.195580 -1
3d69dc666b1aa28bac254254cafab934fc65db3e 0.203390 -1
9bd7de9d5848148eed37266424221f79e784281f 0.204775 -1
173d5ff06005a5c308c384e11a3fce39ccd132fd 0.223335 -1
cefd728d8ca58481c42c6bf12788e24a00cef828 0.224903 -1
74641a4353471e539f1edd275e98f95626badd47 0.225562 -1
8861762f2ab3f15957ae6447dfe0c3a005f3ea70 0.225985 -1
75a6b0fae8f2a13c7ea734258d70dfefb24fd34a 0.226558 -1
db7a752d6a4ab92c28957d8fa16299ec6ff2eb95 0.233454 -1
e95f046535a8e4a79ef654e0aed232676230ed17 0.234530 -1
c66938cb9327b82ea02f4312975e0f0bd754a023 0.235810 -1
dfae6998feb4919d59659d811b44b608454e3dba 0.256146 -1
49c5722e76073d36ebf40cd5b70540897c592e68 0.256875 -1
7d0f4147c1ae0c40edd3e12c5c5dbab1eb28c5d5 0.263723 -1
cf363bfe046b7d3d5dcf54171b0259e830915e5b 0.280009 -1
86782235f36b4a3cd58fa9fa0fc3d3118d9241ac 0.280700 -1
728b1231ce31cd65836958c72cf6ff366d7fe680 0.282240 -1
9952a642e46a2d17ca36d376efd62b00cf3d2286 0.289784 -1
e6114953f43028c246a1052e6efbf52aba062add 0.290859 -1
a7e011420e2c13ca0e56e443dd088ce95031ea4a 0.291288 -1
3a6b412e4da712dea873c48190a3f46806bd976f 0.309254 -1
b1345099d1732bb3efbe3222c93d8291aafc376e 0.310375 -1
5c8ae6e1df9eda19d6a7a6a7190f0aa372f8e175 0.312034 10
36e9e8fe1d7977a45c71646ed67526959b6b7f84 0.323984 -1
419799045966cb118ebb857b42a65d3a4bdc1897 0.325116 -1
22f3500484fd70aaeef8f553890c05ce521214f1 0.326728 -1
0aea2d2253dd819a8bb40a796e57ee492316e513 0.347158 -1
abbcf3da6a1ae8ff2e54ca14e0bce7b51cc2cf27 0.347902 -1
d1347e5c94956039f73b9062d01693105df245ea 0.349960 -1
27ae358bc954ae351ef7864635c463ad597eee1d 0.358287 -1
4656b8be9b9d547eab4919e332e7974ba41c7b64 0.359107 -1
590fcf92fcbfa4c3c73b13098542504062c415cb 0.381845 -1
1c623be8eb857ba6fb78149e3533265dabe2b613 0.390518 -1
3bd96bcfd585552dcdae228bf91027ea3eb858c3 0.405702 -1
66ac1c6bb48d0bc525e209e2d260b1039a1d2fed 0.406370 -1
2da27990bbbe48c28f61363ef26d5be832c147a3 0.415184 -1
b579164976a71d289cd716e5cbb0233c914528ac 0.416045 -1
5c3a8547811b371ae6b35a24f3620c88ba76b4f3 0.416926 -1
50f9dcd188e6fede830a7975842e8b5b42ab6081 0.437132 -1
12cdbd25a9edbbc1d3b1abcc0a8c8a3a3eb908fd 0.446062 -1
ef0f666d6696c352b84b4e522e00dde0ad489db9 0.446874 -1
5d95a6f5f50d0601b8b1d25aa704fde3c3c7f06e 0.447663 -1
8ee99e5e22be746695c022d4f2735ea16206378f 0.448452 -1
4734181b65dbd97e624d9a8002cc2fa9b76363d9 0.467970 -1
c43edf82d9b4bb46570bb80d736498eb0da98b37 0.469216 -1
04855c040a78d4d1e4816a838357c9f30b975ad8 0.470231 -1
0453748841f51ef8a29c1b7c49ee44dafd76b8c0 0.470775 -1
88860dee88e86fce55e66d0b34f8f862f597fc4d 0.479629 -1
17d4ac4c89f9767d1526d59af2ac3c9d7d50086b 0.501469 -1
d096da5034464442bd4bc0abf5c188308b13e298 0.509751 -1
3945f1e20e706943b422c6c98d4b429aa861ba0a 0.511027 -1
916d419bcd2da8478ad4f1a514e94a2fad7f7fc7 0.511684 -1
f74de78f880a9769698f10fd255938ac0e8c00db 0.528103 -1
3e6acfe45fcd93454ca1bcb5d402a9eace1a8c2a 0.529783 -1
a3d1b8df0d7df2b9f5d2c582a94d2855bda16aea 0.539287 -1
8790ff8036574f296804411a53b738d3f9a9ea5e 0.544030 10
55bd2082cf95afce5a90de917019d79f8565fb21 0.557434 -1
