3.5 1.5 10.1.11.2
9bbb10c6de20e7ea6324f2192b0b5a3af70a936b 0.018338 -1
7bc29f6603a74123a4020d09a2d034fffb54aea0 0.019201 -1
7aa9642555cbf45d6528f55b60fdc987dab9696b 0.021228 -1
55da0121f293c498e906638c6b3a4add5f31a7c5 0.021642 -1
39c25a55216c24358533eeee95b4479aa01bb69d 0.024109 -1
b6222f6150c6874790eea80069abb8cf22c6c666 0.024261 -1
31950da3f5c254089656d012452770aa30fdef0a 0.024444 -1
6b79da2c4c2aee5f29e0b19bb403f3b8cd73aa77 0.024719 -1
b3e7067d8ad9fd30ed7f6f4722f65d96d8d3fe8b 0.028007 -1
3b45be1ed1d04e96bbaba0ec39afc506f847d8a6 0.030967 -1
c116539eeeecc189dcb11f2395e10668885d9f36 0.031518 -1
7ad73596bb46a5e3aa61e3e1b20644e73048cb86 0.033871 -1
94ea088f8e41b531f67e24d427ebff08a7b0ffe4 0.038511 -1
16cf53d526f40cf57b05f72216222fca2dc30283 0.040828 -1
2f1c8a1534aaceb50a450bf39fad772d98ea7ab3 0.041053 -1
b58bd98c8cba9619f2a25eb602a699da9a195160 0.041211 -1
346382b1d84805e277563e9485f4e9bd0fbed064 0.041516 -1
25a3f9db2549386882c44d1c0955f3adf3df95f0 0.045004 -1
1a28e25d0eb330329c4ff6b4d9e623381bc30c4e 0.045566 -1
5d700596db78c8557872fc0691d20a2a58521f5d 0.047635 -1
1ad2f566a64fd01572a056951da193d8a083497d 0.047798 -1
5ffc89395dfbe2bb51f7383b6ffe88055b17e4b6 0.048007 -1
1baf118071e97c06de05fc9aa586a0d408e55a0a 0.050723 -1
3d69dc666b1aa28bac254254cafab934fc65db3e 0.053227 -1
9bd7de9d5848148eed37266424221f79e784281f 0.053561 -1
173d5ff06005a5c308c384e11a3fce39ccd132fd 0.057329 -1
cefd728d8ca58481c42c6bf12788e24a00cef828 0.058123 -1
74641a4353471e539f1edd275e98f95626badd47 0.058279 -1
