-3 0 10.1.6.2
9bbb10c6de20e7ea6324f2192b0b5a3af70a936b 0.018257 -1
7bc29f6603a74123a4020d09a2d034fffb54aea0 0.019121 -1
7aa9642555cbf45d6528f55b60fdc987dab9696b 0.021204 -1
55da0121f293c498e906638c6b3a4add5f31a7c5 0.021610 -1
39c25a55216c24358533eeee95b4479aa01bb69d 0.024621 -1
b6222f6150c6874790eea80069abb8cf22c6c666 0.025177 -1
31950da3f5c254089656d012452770aa30fdef0a 0.025367 -1
6b79da2c4c2aee5f29e0b19bb403f3b8cd73aa77 0.025632 -1
b3e7067d8ad9fd30ed7f6f4722f65d96d8d3fe8b 0.028038 -1
3b45be1ed1d04e96bbaba0ec39afc506f847d8a6 0.031217 -1
c116539eeeecc189dcb11f2395e10668885d9f36 0.031793 -1
7ad73596bb46a5e3aa61e3e1b20644e73048cb86 0.034204 -1
94ea088f8e41b531f67e24d427ebff08a7b0ffe4 0.038752 -1
16cf53d526f40cf57b05f72216222fca2dc30283 0.041056 -1
2f1c8a1534aaceb50a450bf39fad772d98ea7ab3 0.041281 -1
b58bd98c8cba9619f2a25eb602a699da9a195160 0.041432 -1
346382b1d84805e277563e9485f4e9bd0fbed064 0.041741 -1
25a3f9db2549386882c44d1c0955f3adf3df95f0 0.045240 -1
1a28e25d0eb330329c4ff6b4d9e623381bc30c4e 0.045777 -1
5d700596db78c8557872fc0691d20a2a58521f5d 0.047842 -1
1ad2f566a64fd01572a056951da193d8a083497d 0.048005 -1
5ffc89395dfbe2bb51f7383b6ffe88055b17e4b6 0.048213 -1
1baf118071e97c06de05fc9aa586a0d408e55a0a 0.050965 -1
3d69dc666b1aa28bac254254cafab934fc65db3e 0.053561 -1
9bd7de9d5848148eed37266424221f79e784281f 0.053836 -1
173d5ff06005a5c308c384e11a3fce39ccd132fd 0.057536 -1
cefd728d8ca58481c42c6bf12788e24a00cef828 0.058308 -1
74641a4353471e539f1edd275e98f95626badd47 0.058461 -1
8861762f2ab3f15957ae6447dfe0c3a005f3ea70 0.058581 -1
75a6b0fae8f2a13c7ea734258d70dfefb24fd34a 0.058702 -1
db7a752d6a4ab92c28957d8fa16299ec6ff2eb95 0.060891 -1
e95f046535a8e4a79ef654e0aed232676230ed17 0.061082 -1
c66938cb9327b82ea02f4312975e0f0bd754a023 0.061348 -1
dfae6998feb4919d59659d811b44b608454e3dba 0.065763 -1
49c5722e76073d36ebf40cd5b70540897c592e68 0.066543 -1
7d0f4147c1ae0c40edd3e12c5c5dbab1eb28c5d5 0.068380 -1
cf363bfe046b7d3d5dcf54171b0259e830915e5b 0.070955 -1
86782235f36b4a3cd58fa9fa0fc3d3118d9241ac 0.071092 -1
728b1231ce31cd65836958c72cf6ff366d7fe680 0.071424 -1
9952a642e46a2d17ca36d376efd62b00cf3d2286 0.074090 -1
e6114953f43028c246a1052e6efbf52aba062add 0.074290 -1
a7e011420e2c13ca0e56e443dd088ce95031ea4a 0.074394 -1
3a6b412e4da712dea873c48190a3f46806bd976f 0.077445 -1
b1345099d1732bb3efbe3222c93d8291aafc376e 0.077918 -1
36e9e8fe1d7977a45c71646ed67526959b6b7f84 0.079995 -1
419799045966cb118ebb857b42a65d3a4bdc1897 0.080180 -1
22f3500484fd70aaeef8f553890c05ce521214f1 0.080518 -1
