0 -1.5 10.1.8.2
9bbb10c6de20e7ea6324f2192b0b5a3af70a936b 0.018263 -1
7bc29f6603a74123a4020d09a2d034fffb54aea0 0.019119 -1
7aa9642555cbf45d6528f55b60fdc987dab9696b 0.021170 -1
55da0121f293c498e906638c6b3a4add5f31a7c5 0.021576 -1
39c25a55216c24358533eeee95b4479aa01bb69d 0.024050 -1
b6222f6150c6874790eea80069abb8cf22c6c666 0.024194 -1
31950da3f5c254089656d012452770aa30fdef0a 0.024328 -1
6b79da2c4c2aee5f29e0b19bb403f3b8cd73aa77 0.024610 -1
b3e7067d8ad9fd30ed7f6f4722f65d96d8d3fe8b 0.027358 -1
3b45be1ed1d04e96bbaba0ec39afc506f847d8a6 0.031135 -1
c116539eeeecc189dcb11f2395e10668885d9f36 0.031678 -1
7ad73596bb46a5e3aa61e3e1b20644e73048cb86 0.034032 -1
94ea088f8e41b531f67e24d427ebff08a7b0ffe4 0.038530 -1
16cf53d526f40cf57b05f72216222fca2dc30283 0.040854 -1
2f1c8a1534aaceb50a450bf39fad772d98ea7ab3 0.041083 -1
b58bd98c8cba9619f2a25eb602a699da9a195160 0.041237 -1
346382b1d84805e277563e9485f4e9bd0fbed064 0.041544 -1
25a3f9db2549386882c44d1c0955f3adf3df95f0 0.045156 -1
1a28e25d0eb330329c4ff6b4d9e623381bc30c4e 0.045712 -1
5d700596db78c8557872fc0691d20a2a58521f5d 0.047792 -1
1ad2f566a64fd01572a056951da193d8a083497d 0.047953 -1
5ffc89395dfbe2bb51f7383b6ffe88055b17e4b6 0.048171 -1
1baf118071e97c06de05fc9aa586a0d408e55a0a 0.050865 -1
3d69dc666b1aa28bac254254cafab934fc65db3e 0.053368 -1
9bd7de9d5848148eed37266424221f79e784281f 0.053645 -1
173d5ff06005a5c308c384e11a3fce39ccd132fd 0.057485 -1
cefd728d8ca58481c42c6bf12788e24a00cef828 0.058274 -1
74641a4353471e539f1edd275e98f95626badd47 0.058425 -1
8861762f2ab3f15957ae6447dfe0c3a005f3ea70 0.058546 -1
75a6b0fae8f2a13c7ea734258d70dfefb24fd34a 0.058670 -1
db7a752d6a4ab92c28957d8fa16299ec6ff2eb95 0.060857 -1
e95f046535a8e4a79ef654e0aed232676230ed17 0.061054 -1
c66938cb9327b82ea02f4312975e0f0bd754a023 0.061327 -1
dfae6998feb4919d59659d811b44b608454e3dba 0.065662 -1
